180.0.0.0/8,1
128.0.0.0/8,1
223.0.0.0/8,2
208.0.0.0/8,2
55.0.0.0/8,2
108.0.0.0/8,2
48.1.159.0/24,3
151.0.0.0/8,3
48.0.0.0/8,3
145.0.0.0/8,4
158.0.0.0/8,4
54.0.0.0/8,4
61.0.0.0/8,5
184.0.0.0/8,5
181.0.0.0/8,5
203.0.0.0/8,5
48.1.136.0/24,6
132.0.0.0/8,6
177.0.0.0/8,6
186.0.0.0/8,6
197.0.0.0/8,6
48.1.137.0/24,7
83.0.0.0/8,7
34.0.0.0/8,7
141.0.0.0/8,7
116.0.0.0/8,7
48.2.0.0/8,8
155.0.0.0/8,8
49.0.0.0/8,8
187.0.0.0/8,8
37.0.0.0/8,8
135.0.0.0/8,9
144.0.0.0/8,9
60.0.0.0/8,9
220.0.0.0/8,9
236.0.0.0/8,9
118.0.0.0/8,9
113.0.0.0/8,9
41.0.0.0/8,10
142.0.0.0/8,10
147.0.0.0/8,10
247.0.0.0/8,10
50.0.0.0/8,10
32.0.0.0/8,10
125.0.0.0/8,10
178.0.0.0/8,11
70.0.0.0/8,11
221.0.0.0/8,11
148.0.0.0/8,11
248.0.0.0/8,11
219.0.0.0/8,11
152.0.0.0/8,11
138.0.0.0/8,11
115.0.0.0/8,11
53.0.0.0/8,12
150.0.0.0/8,12
48.1.156.0/24,12
201.0.0.0/8,12
42.0.0.0/8,12
228.0.0.0/8,12
68.0.0.0/8,12
104.0.0.0/8,12
35.0.0.0/8,12
85.0.0.0/8,12
39.0.0.0/8,13
159.0.0.0/8,13
183.0.0.0/8,13
36.0.0.0/8,13
33.0.0.0/8,13
112.0.0.0/8,13
182.0.0.0/8,13
242.0.0.0/8,13
143.0.0.0/8,14
218.0.0.0/8,14
79.0.0.0/8,14
78.0.0.0/8,14
77.0.0.0/8,14
253.0.0.0/8,14
254.0.0.0/8,14
163.0.0.0/8,14
98.0.0.0/8,14
109.0.0.0/8,14
105.0.0.0/8,14
176.0.0.0/8,15
40.0.0.0/8,15
140.0.0.0/8,15
190.0.0.0/8,15
149.0.0.0/8,15
43.0.0.0/8,15
146.0.0.0/8,15
231.0.0.0/8,15
174.0.0.0/8,15
48.1.226.0/24,15
80.0.0.0/8,15
84.0.0.0/8,15
134.0.0.0/8,15
131.0.0.0/8,15
210.0.0.0/8,15
153.0.0.0/8,16
52.0.0.0/8,16
81.0.0.0/8,16
154.0.0.0/8,16
65.0.0.0/8,16
51.0.0.0/8,16
179.0.0.0/8,16
48.1.157.0/24,16
56.0.0.0/8,16
133.0.0.0/8,16
93.0.0.0/8,16
129.0.0.0/8,16
48.1.214.0/24,16
66.0.0.0/8,16
170.0.0.0/8,16
139.0.0.0/8,16
114.0.0.0/8,16
200.0.0.0/8,16
110.0.0.0/8,16
88.0.0.0/8,16
86.0.0.0/8,16
120.0.0.0/8,16
90.0.0.0/8,16
252.0.0.0/8,16
245.0.0.0/8,16
107.0.0.0/8,16
122.0.0.0/8,16
124.0.0.0/8,16
123.0.0.0/8,16
117.0.0.0/8,16
89.0.0.0/8,16
106.0.0.0/8,16
96.0.0.0/8,16
102.0.0.0/8,16
91.0.0.0/8,16
57.0.0.0/8,16
58.0.0.0/8,16
194.0.0.0/8,16
95.0.0.0/8,16
199.0.0.0/8,16
100.0.0.0/8,16
44.0.0.0/8,16
92.0.0.0/8,16
94.0.0.0/8,16
222.0.0.0/8,16
99.0.0.0/8,16
202.0.0.0/8,16
164.0.0.0/8,16
69.0.0.0/8,16
87.0.0.0/8,16
171.0.0.0/8,16
232.0.0.0/8,16
169.0.0.0/8,16
224.0.0.0/8,16
46.0.0.0/8,16
73.0.0.0/8,16
74.0.0.0/8,16
82.0.0.0/8,16
127.0.0.0/8,16
161.0.0.0/8,16
162.0.0.0/8,16
191.0.0.0/8,16
250.0.0.0/8,16
0.0.0.0/0,16
