1,2,1,2,0,0,0,0
1,3,1,2,3,0,0,0
1,4,1,4,0,0,0,0
1,5,1,4,0,0,0,0
1,6,1,2,3,5,0,0
1,7,1,4,6,0,0,0
1,8,1,4,6,0,0,0
1,9,1,2,7,0,0,0
1,10,1,2,7,8,0,0
1,11,1,2,7,8,0,0
1,12,1,4,6,5,9,0
1,13,1,2,7,8,11,10
1,14,1,2,7,8,11,0
1,15,1,4,6,5,9,12
1,16,1,4,6,5,9,12
2,1,1,2,0,0,0,0
2,3,2,3,0,0,0,0
2,4,2,1,4,0,0,0
2,5,2,1,4,0,0,0
2,6,2,3,5,0,0,0
2,7,2,7,6,0,0,0
2,8,2,7,6,0,0,0
2,9,2,7,0,0,0,0
2,10,2,7,8,0,0,0
2,11,2,7,8,0,0,0
2,12,2,3,5,9,0,0
2,13,2,7,8,11,10,0
2,14,2,7,8,11,0,0
2,15,2,3,5,9,12,0
2,16,2,3,5,9,12,0
3,1,1,2,3,0,0,0
3,2,2,3,0,0,0,0
3,4,3,5,6,4,0,0
3,5,3,5,6,4,0,0
3,6,3,5,0,0,0,0
3,7,3,5,6,0,0,0
3,8,3,5,6,0,0,0
3,9,3,2,7,0,0,0
3,10,3,2,7,8,0,0
3,11,3,2,7,8,0,0
3,12,3,5,9,0,0,0
3,13,3,5,9,10,0,0
3,14,3,2,7,8,11,0
3,15,3,5,9,12,0,0
3,16,3,5,9,12,0,0
4,1,1,4,0,0,0,0
4,2,2,1,4,0,0,0
4,3,3,5,6,4,0,0
4,5,4,0,0,0,0,0
4,6,4,6,5,0,0,0
4,7,4,6,0,0,0,0
4,8,4,6,0,0,0,0
4,9,4,6,7,0,0,0
4,10,4,6,7,8,0,0
4,11,4,6,7,8,0,0
4,12,4,6,5,9,0,0
4,13,4,6,5,9,10,0
4,14,4,6,7,8,11,0
4,15,4,6,5,9,12,0
4,16,4,6,5,9,12,0
5,1,1,4,0,0,0,0
5,2,2,1,4,0,0,0
5,3,3,5,6,4,0,0
5,4,4,0,0,0,0,0
5,6,4,6,5,0,0,0
5,7,4,6,0,0,0,0
5,8,4,6,0,0,0,0
5,9,4,6,7,0,0,0
5,10,4,6,7,8,0,0
5,11,4,6,7,8,0,0
5,12,4,6,5,9,0,0
5,13,4,6,5,9,10,0
5,14,4,6,7,8,11,0
5,15,4,6,5,9,12,0
5,16,4,6,5,9,12,0
6,1,1,2,3,5,0,0
6,2,2,3,5,0,0,0
6,3,3,5,0,0,0,0
6,4,4,6,5,0,0,0
6,5,4,6,5,0,0,0
6,7,5,6,0,0,0,0
6,8,5,6,0,0,0,0
6,9,5,6,7,0,0,0
6,10,5,6,7,8,0,0
6,11,5,6,7,8,0,0
6,12,5,9,0,0,0,0
6,13,5,9,10,0,0,0
6,14,5,9,10,11,0,0
6,15,5,9,12,0,0,0
6,16,5,9,12,0,0,0
7,1,1,4,6,0,0,0
7,2,2,7,6,0,0,0
7,3,3,5,6,0,0,0
7,4,4,6,0,0,0,0
7,5,4,6,0,0,0,0
7,6,5,6,0,0,0,0
7,8,6,0,0,0,0,0
7,9,6,7,0,0,0,0
7,10,6,7,8,0,0,0
7,11,6,7,8,0,0,0
7,12,6,5,9,0,0,0
7,13,6,5,9,10,0,0
7,14,6,7,8,11,0,0
7,15,6,5,9,12,0,0
7,16,6,5,9,12,0,0
8,1,1,4,6,0,0,0
8,2,2,7,6,0,0,0
8,3,3,5,6,0,0,0
8,4,4,6,0,0,0,0
8,5,4,6,0,0,0,0
8,6,5,6,0,0,0,0
8,7,6,0,0,0,0,0
8,9,6,7,0,0,0,0
8,10,6,7,8,0,0,0
8,11,6,7,8,0,0,0
8,12,6,5,9,0,0,0
8,13,6,5,9,10,0,0
8,14,6,7,8,11,0,0
8,15,6,5,9,12,0,0
8,16,6,5,9,12,0,0
9,1,1,2,7,0,0,0
9,2,2,7,0,0,0,0
9,3,3,2,7,0,0,0
9,4,4,6,7,0,0,0
9,5,4,6,7,0,0,0
9,6,5,6,7,0,0,0
9,7,6,7,0,0,0,0
9,8,6,7,0,0,0,0
9,10,7,8,0,0,0,0
9,11,7,8,0,0,0,0
9,12,7,6,5,9,0,0
9,13,7,8,11,10,0,0
9,14,7,8,11,0,0,0
9,15,7,8,11,12,0,0
9,16,7,8,11,12,0,0
10,1,1,2,7,8,0,0
10,2,2,7,8,0,0,0
10,3,3,2,7,8,0,0
10,4,4,6,7,8,0,0
10,5,4,6,7,8,0,0
10,6,5,6,7,8,0,0
10,7,6,7,8,0,0,0
10,8,6,7,8,0,0,0
10,9,7,8,0,0,0,0
10,11,8,0,0,0,0,0
10,12,8,11,10,9,0,0
10,13,8,11,10,0,0,0
10,14,8,11,0,0,0,0
10,15,8,11,12,0,0,0
10,16,8,11,12,0,0,0
11,1,1,2,7,8,0,0
11,2,2,7,8,0,0,0
11,3,3,2,7,8,0,0
11,4,4,6,7,8,0,0
11,5,4,6,7,8,0,0
11,6,5,6,7,8,0,0
11,7,6,7,8,0,0,0
11,8,6,7,8,0,0,0
11,9,7,8,0,0,0,0
11,10,8,0,0,0,0,0
11,12,8,11,10,9,0,0
11,13,8,11,10,0,0,0
11,14,8,11,0,0,0,0
11,15,8,11,12,0,0,0
11,16,8,11,12,0,0,0
12,1,1,4,6,5,9,0
